Sample,Average User CPU Usage (%),Average Idle CPU Usage (%)
1,0.0,100.0
2,2.0833333333333335,97.91666666666667
3,3.125,96.875
4,2.0833333333333335,97.91666666666667
5,4.166666666666667,95.83333333333333
6,2.0833333333333335,97.91666666666667
7,2.0833333333333335,97.91666666666667
8,2.0833333333333335,97.91666666666667
9,4.166666666666667,95.83333333333333
10,6.9437500000000005,93.05625
11,5.208333333333333,94.79166666666667
12,4.166666666666667,95.83333333333333
13,6.25,93.75
14,5.208333333333333,94.79166666666667
15,10.06875,89.93125
16,12.152083333333332,87.84791666666666
17,2.0833333333333335,97.91666666666667
18,3.125,96.875
19,2.0833333333333335,97.91666666666667
20,2.0833333333333335,97.91666666666667
21,4.166666666666667,95.83333333333333
22,3.125,96.875
23,2.0833333333333335,97.91666666666667
24,7.291666666666667,92.70833333333333
25,2.0833333333333335,97.91666666666667
26,3.125,96.875
27,3.125,96.875
28,2.0833333333333335,97.91666666666667
29,2.0833333333333335,97.91666666666667
30,2.0833333333333335,97.91666666666667
31,3.125,96.875
32,3.81875,96.18125
33,4.166666666666667,95.83333333333333
34,5.902083333333334,94.09791666666666
35,4.860416666666667,95.13958333333333
36,4.166666666666667,95.83333333333333
37,7.291666666666667,92.70833333333333
38,4.166666666666667,95.83333333333333
39,2.0833333333333335,97.91666666666667
40,3.125,96.875
41,3.125,96.875
42,5.208333333333333,94.79166666666667
43,7.291666666666667,92.70833333333333
44,8.333333333333334,91.66666666666667
45,4.860416666666667,95.13958333333333
46,2.0833333333333335,97.91666666666667
47,2.0833333333333335,97.91666666666667
48,2.0833333333333335,97.91666666666667
49,3.125,96.875
50,2.0833333333333335,97.91666666666667
51,2.0833333333333335,97.91666666666667
52,2.0833333333333335,97.91666666666667
53,4.166666666666667,95.83333333333333
54,2.0833333333333335,97.91666666666667
55,3.125,96.875
56,4.166666666666667,95.83333333333333
57,13.541666666666666,86.45833333333333
58,9.375,90.625
59,5.208333333333333,94.79166666666667
60,5.208333333333333,94.79166666666667
61,2.0833333333333335,97.91666666666667
62,5.208333333333333,94.79166666666667
63,4.166666666666667,95.83333333333333
64,3.125,96.875
65,2.0833333333333335,97.91666666666667
66,3.125,96.875
67,2.0833333333333335,97.91666666666667
68,4.166666666666667,95.83333333333333
69,4.166666666666667,95.83333333333333
70,2.0833333333333335,97.91666666666667
71,3.125,96.875
72,3.125,96.875
73,3.125,96.875
74,3.125,96.875
75,2.0833333333333335,97.91666666666667
76,3.125,96.875
77,2.0833333333333335,97.91666666666667
78,3.125,96.875
79,2.7770833333333336,97.22291666666666
80,5.208333333333333,94.79166666666667
81,5.208333333333333,94.79166666666667
82,6.25,93.75
83,3.125,96.875
84,2.0833333333333335,97.91666666666667
85,2.0833333333333335,97.91666666666667
86,2.0833333333333335,97.91666666666667
87,3.125,96.875
88,3.125,96.875
89,2.0833333333333335,97.91666666666667
90,2.0833333333333335,97.91666666666667
91,4.860416666666667,95.13958333333333
92,4.166666666666667,95.83333333333333
93,11.80625,88.19375
94,10.416666666666666,89.58333333333333
95,3.81875,96.18125
96,7.291666666666667,92.70833333333333
97,4.166666666666667,95.83333333333333
98,7.291666666666667,92.70833333333333
99,3.125,96.875
100,2.0833333333333335,97.91666666666667
101,4.166666666666667,95.83333333333333
102,5.208333333333333,94.79166666666667
103,9.375,90.625
104,5.902083333333334,94.09791666666666
105,5.208333333333333,94.79166666666667
106,3.125,96.875
107,2.0833333333333335,97.91666666666667
108,3.125,96.875
109,3.125,96.875
110,2.0833333333333335,97.91666666666667
111,2.0833333333333335,97.91666666666667
112,4.166666666666667,95.83333333333333
113,8.333333333333334,91.66666666666667
114,2.0833333333333335,97.91666666666667
115,3.125,96.875
116,3.125,96.875
117,3.125,96.875
118,2.0833333333333335,97.91666666666667
119,3.125,96.875
120,2.0833333333333335,97.91666666666667
121,4.166666666666667,95.83333333333333
122,2.0833333333333335,97.91666666666667
123,3.125,96.875
124,2.0833333333333335,97.91666666666667
125,3.125,96.875
126,4.166666666666667,95.83333333333333
127,2.0833333333333335,97.91666666666667
128,2.0833333333333335,97.91666666666667
129,2.0833333333333335,97.91666666666667
130,2.0833333333333335,97.91666666666667
131,4.860416666666667,95.13958333333333
132,2.0833333333333335,97.91666666666667
133,2.0833333333333335,97.91666666666667
134,3.125,96.875
135,4.166666666666667,95.83333333333333
136,2.0833333333333335,97.91666666666667
137,4.166666666666667,95.83333333333333
138,5.208333333333333,94.79166666666667
139,5.208333333333333,94.79166666666667
140,3.125,96.875
141,2.0833333333333335,97.91666666666667
142,2.7770833333333336,97.22291666666666
143,4.166666666666667,95.83333333333333
144,3.125,96.875
145,2.0833333333333335,97.91666666666667
146,2.4291666666666667,97.57083333333334
147,5.902083333333334,94.09791666666666
148,2.0833333333333335,97.91666666666667
149,3.125,96.875
150,5.208333333333333,94.79166666666667
151,3.125,96.875
152,5.208333333333333,94.79166666666667
153,6.25,93.75
154,5.208333333333333,94.79166666666667
155,3.125,96.875
156,2.0833333333333335,97.91666666666667
157,3.125,96.875
158,3.125,96.875
159,4.166666666666667,95.83333333333333
160,2.0833333333333335,97.91666666666667
161,3.81875,96.18125
162,4.166666666666667,95.83333333333333
163,12.152083333333332,87.84791666666666
164,7.291666666666667,92.70833333333333
